Date,lon,lat
2007-09-16,-64.5645,19.9431
2007-09-16,-64.5649,19.9432
2007-09-18,-64.3828,20.2173
2007-09-20,-64.1968,20.4521
2007-09-20,-63.8333,21.1293
2007-09-20,-63.5899,21.4730
2007-09-21,-63.4227,21.7367
2007-09-22,-63.1474,22.1500
2007-09-22,-62.7592,22.8418
2007-09-24,-62.8129,24.3576
2007-09-24,-62.8129,24.3576
2007-09-26,-62.7221,24.7657
2007-09-27,-62.4785,25.3751
2007-10-11,-62.4387,25.5607
2007-10-11,-61.7168,26.0914
2007-10-11,-62.9857,29.2490
2007-10-11,-63.2167,29.7453
2007-11-11,-63.7064,30.5477
2007-11-24,-64.0147,31.1813
2007-11-24,-64.2677,31.5350
2007-11-24,-64.5448,31.9644
2007-11-25,-64.4322,32.3200
2007-12-11,-64.6316,32.0790
2007-12-11,-62.7727,31.5865
2007-12-11,-62.0368,31.2001
2008-01-02,-61.3126,30.8735
2008-01-02,-58.7081,30.0730
2008-01-21,-58.7081,30.0730
2008-01-23,-56.6993,29.6835
2008-01-23,-54.9628,29.5392
2008-01-23,-53.6117,29.2797
2008-01-23,-51.8931,28.9070
2008-01-24,-51.0777,28.7729
2008-01-25,-50.1026,28.5522
2008-01-27,-35.0237,35.6729
2008-01-27,-33.3888,36.2937
2008-01-28,-39.2757,-23.4996
2008-01-28,-37.4867,-23.7290
2008-01-29,-36.6933,-23.8868
2008-01-29,-33.9573,-24.1104
2008-01-30,-30.8532,-23.0308
2008-01-30,-29.2472,-22.2970
2008-01-31,-28.2509,-20.8268
2008-02-02,-27.3385,-19.7983
2008-02-06,-26.1638,-18.6150
2008-02-06,-25.0860,-17.8870
2008-02-06,-23.7325,-16.9837
2008-02-06,-22.5333,-16.2435
2008-02-06,-20.7390,-13.9923
2008-02-06,-41.0363,-26.4261
2008-02-06,-39.9167,-26.3881
2008-02-06,-38.7646,-26.1893
2008-02-06,-37.5873,-26.1310
2008-02-06,-36.4999,-25.9968
2008-02-06,-35.3693,-25.8957
2008-02-06,-34.2127,-25.8010
2008-02-06,-35.0814,-25.9165
2008-02-06,-31.9730,-26.0782
2008-02-06,-31.0914,-26.3129
